Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"IO_LED_FILTER_HEATER","OffPage","06_CPLD","6","ITR-201C_MB","U3.106","1230","300","2C","14"
"IO_LED_SIO2_HEATER","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U22.17","380","150","4D","6"
"IO_LED_SIO2_HEATER","OffPage","06_CPLD","6","ITR-201C_MB","U3.107","1230","290","2C","14"
"LVDS_YM2","OffPage","07_LVDS","7","ITR-201C_MB","R38.2","1270","530","2C","14"
"LVDS_YM2","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R139.1","550","570","4B","7"
"IO_RDY","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.37","270","360","5C","6"
"IO_RDY","OffPage","06_CPLD","6","ITR-201C_MB","R18.2,U3.138","260","100","5D","3"
"LVDS_YP2","OffPage","07_LVDS","7","ITR-201C_MB","R39.2","1270","540","2C","14"
"LVDS_YP2","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R141.1","550","580","4B","7"
"LVDS_YM0","OffPage","07_LVDS","7","ITR-201C_MB","R33.2","1270","470","2C","14"
"LVDS_YM0","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R136.1","550","540","4C","7"
"LVDS_YP0","OffPage","07_LVDS","7","ITR-201C_MB","R34.2","1270","480","2C","14"
"LVDS_YP0","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R135.1","550","550","4C","7"
"GPMC_nCS3","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.36","1440","350","1C","6"
"GPMC_nCS3","OffPage","06_CPLD","6","ITR-201C_MB","U3.141","260","130","5D","3"
"LVDS_CLKM","OffPage","07_LVDS","7","ITR-201C_MB","R40.2","1270","550","2C","14"
"LVDS_CLKM","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R140.2","1120","570","2B","7"
"LVDS_CLKP","OffPage","07_LVDS","7","ITR-201C_MB","R41.2","1270","560","2C","14"
"LVDS_CLKP","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","R142.2","1120","580","2B","7"
"WSD1","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","C72.1,R111.2,U13.6","1410","240","1D","6"
"WSD1","OffPage","06_CPLD","6","ITR-201C_MB","U3.96","1200","400","2C","11"
"CPU_I2C2_SDA","OffPage","15_OTHERS","15","ITR-201C_MB","U27.2","1110","530","2C","4"
"CPU_I2C2_SDA","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.154,R10.2","1080","440","2C","15"
"LCD_AC_BIAS_EN","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.23","270","290","5C","7"
"LCD_AC_BIAS_EN","OffPage","07_LVDS","7","ITR-201C_MB","RN9.3","180","650","5B","3"
"WSD_SAMPLE1","OffPage","11_TEMP&HUMIDITY","11","ITR-201C_MB","R113.2","1410","370","1C","6"
"WSD_SAMPLE1","OffPage","06_CPLD","6","ITR-201C_MB","U3.97","1200","390","2C","11"
"USB_DRVVBUS0","OffPage","03_CONNECTOR1","3","ITR-201C_MB","CON1A.83","560","590","4B","15"
"USB_DRVVBUS0","OffPage","15_OTHERS","15","ITR-201C_MB","R169.1","800","220","3D","3"
"CPU_SPI0_CS0","OffPage","14_CONNECTOR_TO_FB","14","ITR-201C_MB","U23.17","970","150","3D","4"
"CPU_SPI0_CS0","OffPage","04_CONNECTOR2","4","ITR-201C_MB","CON1B.155","430","450","4C","14"
